,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
0,Atuona,PF,-9.8,-139.0333,76.39,79,27,19.93,light rain,Villa Enata
2,Vaini,TO,-21.2,-175.2,75.36,88,75,10.36,broken clouds,Keleti Beach Resort
10,Faanui,PF,-16.4833,-151.75,77.95,75,6,22.08,light rain,Bora-Bora Pearl Beach Resort & Spa
13,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,81,8.99,broken clouds,Finch Bay Galapagos Hotel
14,Kapaa,US,22.0752,-159.319,82.72,71,0,10.36,clear sky,Sheraton Kauai Coconut Beach Resort
18,Kloulklubed,PW,7.0419,134.2556,83.19,70,77,1.77,broken clouds,Storyboard Beach Resort
19,Sao Filipe,CV,14.8961,-24.4956,79.21,85,27,8.61,scattered clouds,Hotel Xaguate
20,Isangel,VU,-19.55,169.2667,76.51,82,49,13.89,scattered clouds,Tanna Lodge
21,Hithadhoo,MV,-0.6,73.0833,80.53,78,97,14.45,overcast clouds,Scoop Guest House
32,Brewster,US,41.3973,-73.6171,77.05,59,20,6.91,few clouds,Heidi's Inn
33,Biak,ID,-0.9131,122.8766,76.15,84,91,3.91,overcast clouds,Penginapan Kim
43,Pemangkat,ID,1.1667,108.9667,77.99,84,100,4.52,overcast clouds,Hotel Duyung Permai 2
48,Hilo,US,19.7297,-155.09,87.28,75,40,8.99,scattered clouds,Hilo Hawaiian Hotel
50,Salinopolis,BR,-0.6136,-47.3561,82.83,70,19,11.65,few clouds,Salinas Park Resort Maçarico AP101
55,Hambantota,LK,6.1241,81.1185,78.24,80,96,13.96,overcast clouds,Bungalow 63
56,Bolitoc,PH,15.7395,119.8769,78.44,83,16,4.45,few clouds,Seasun Beach Resort & Hotel
58,Daru,PG,-9.0763,143.2092,79.5,88,100,13.6,overcast clouds,Daru Lodge
61,Sterling,US,39.0062,-77.4286,81.52,43,20,11.5,few clouds,Hampton Inn & Suites Washington-Dulles International Airport
63,Diffa,NE,13.3154,12.6113,89.04,24,85,6.69,overcast clouds,ProDAF/Diffa
70,Cam Ranh,VN,11.9214,109.1591,76.96,100,75,3.44,broken clouds,OYO 598 Peony Hotel
73,Gizo,SB,-8.103,156.8419,81.37,74,28,6.49,scattered clouds,Imagination Island
76,Conway,US,35.0887,-92.4421,84.25,40,0,6.91,clear sky,"Country Inn & Suites by Radisson, Conway, AR"
81,Dwarka,IN,22.2394,68.9678,82.29,77,96,12.03,overcast clouds,Hotel Narayan Avezika Comfort
82,San Andres,CO,12.5847,-81.7006,86.02,79,100,12.66,overcast clouds,Hotel Arena Blanca
90,Elat,IL,29.5581,34.9482,80.44,61,0,12.66,clear sky,Club Hotel Eilat
91,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,75,9.22,light intensity drizzle,Pousada Porto Praia
94,Bom Jardim,BR,-7.7958,-35.5872,79.25,62,4,16.78,clear sky,Wilton Joaquim 8 Wilton
99,Victoria,HK,22.2855,114.1577,80.33,78,11,13.0,few clouds,Mini Central
100,Pacific Grove,US,36.6177,-121.9166,77.38,82,0,6.91,haze,Lovers Point Inn
102,Bethel,US,41.3712,-73.414,78.03,55,20,6.91,few clouds,Courtyard by Marriott Danbury
104,Georgetown,MY,5.4112,100.3354,78.24,85,20,0.0,few clouds,Cititel Penang
110,Teacapan,MX,22.55,-105.75,85.37,59,6,7.4,clear sky,Hotel los Mangos
112,Kupang,ID,-10.1667,123.5833,79.36,82,7,7.4,clear sky,Hotel On The Rock by Prasanthi
113,Fayaoue,NC,-20.65,166.5333,75.33,81,37,23.53,scattered clouds,Chez Dydyce Guesthouse
114,Saint George,US,37.1041,-113.5841,85.78,25,0,4.61,clear sky,Best Western Plus Abbey Inn
