,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,76.39,79,27,19.93,light rain
1,Upernavik,GL,72.7868,-56.1549,17.11,81,68,3.83,broken clouds
2,Vaini,TO,-21.2,-175.2,75.36,88,75,10.36,broken clouds
3,Hasaki,JP,35.7333,140.8333,54.0,82,100,11.48,overcast clouds
4,Hobart,AU,-42.8794,147.3294,47.26,69,20,10.36,few clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,42.22,75,100,18.79,overcast clouds
6,College,US,64.8569,-147.8028,44.92,88,100,11.5,light rain
7,Komsomolskiy,UZ,40.4272,71.7189,54.32,50,6,6.91,clear sky
8,Port Elizabeth,ZA,-33.918,25.5701,63.1,92,4,7.0,clear sky
9,Barrow,US,71.2906,-156.7887,35.62,69,20,31.07,few clouds
10,Faanui,PF,-16.4833,-151.75,77.95,75,6,22.08,light rain
11,Albany,US,42.6001,-73.9662,65.05,76,83,3.0,broken clouds
12,Cabo San Lucas,MX,22.8909,-109.9124,94.3,61,0,8.05,clear sky
13,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,81,8.99,broken clouds
14,Kapaa,US,22.0752,-159.319,82.72,71,0,10.36,clear sky
15,Cherskiy,RU,68.75,161.3,17.62,90,100,19.13,overcast clouds
16,Asyut,EG,27.181,31.1837,74.53,36,0,9.35,clear sky
17,Port Alfred,ZA,-33.5906,26.891,60.19,89,1,14.52,clear sky
18,Kloulklubed,PW,7.0419,134.2556,83.19,70,77,1.77,broken clouds
19,Sao Filipe,CV,14.8961,-24.4956,79.21,85,27,8.61,scattered clouds
20,Isangel,VU,-19.55,169.2667,76.51,82,49,13.89,scattered clouds
21,Hithadhoo,MV,-0.6,73.0833,80.53,78,97,14.45,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,70.77,69,19,22.82,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,46.51,49,40,32.21,scattered clouds
24,Kayes,ML,14.0,-11.0,78.19,67,55,6.91,light rain
25,Castro,BR,-24.7911,-50.0119,62.92,67,96,9.44,overcast clouds
26,Chokurdakh,RU,70.6333,147.9167,21.67,93,100,23.42,light snow
27,Yellowknife,CA,62.456,-114.3525,51.57,76,100,8.01,overcast clouds
28,Raga,SS,8.4596,25.678,69.06,94,100,5.08,overcast clouds
29,Husavik,IS,66.0449,-17.3389,36.12,83,100,7.29,overcast clouds
30,Klaksvik,FO,62.2266,-6.589,43.72,79,90,24.52,overcast clouds
31,Bluff,NZ,-46.6,168.3333,43.81,83,84,8.21,broken clouds
32,Brewster,US,41.3973,-73.6171,77.05,59,20,6.91,few clouds
33,Biak,ID,-0.9131,122.8766,76.15,84,91,3.91,overcast clouds
34,Talaya,RU,61.3833,152.75,-2.81,99,97,3.6,overcast clouds
35,Mataura,NZ,-46.1927,168.8643,43.48,74,30,2.17,scattered clouds
36,Ushuaia,AR,-54.8,-68.3,40.66,70,40,26.46,scattered clouds
37,Qaanaaq,GL,77.484,-69.3632,9.64,68,9,7.38,clear sky
38,Iqaluit,CA,63.7506,-68.5145,27.7,58,97,2.89,overcast clouds
39,Maniitsoq,GL,65.4167,-52.9,31.68,80,100,5.3,overcast clouds
40,Doba,TD,8.65,16.85,70.84,91,72,1.28,broken clouds
41,Malakal,SS,9.5334,31.6605,72.07,92,100,3.53,overcast clouds
42,Esperance,AU,-33.8667,121.9,47.41,83,34,9.17,scattered clouds
43,Pemangkat,ID,1.1667,108.9667,77.99,84,100,4.52,overcast clouds
44,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,71,75,24.16,light rain
45,Kidal,ML,18.4411,1.4078,92.01,15,0,11.43,clear sky
46,Hermanus,ZA,-34.4187,19.2345,56.8,78,69,8.05,broken clouds
47,New Norfolk,AU,-42.7826,147.0587,46.92,71,24,5.01,few clouds
