City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Gbadolite,4.2833,21.0167,71.28,95,100,1.57,CD,2022-10-04 20:50:24
1,Vao,-22.6667,167.4833,68.29,61,6,10.8,NC,2022-10-04 20:50:25
2,Ushuaia,-54.8,-68.3,56.86,41,20,9.22,AR,2022-10-04 20:49:39
3,Hobart,-42.8794,147.3294,42.06,88,40,12.66,AU,2022-10-04 20:47:08
4,Bonfim,3.0833,-59.95,86.79,63,81,2.04,BR,2022-10-04 20:50:27
5,San Patricio,28.017,-97.5169,87.19,36,95,8.59,US,2022-10-04 20:50:28
6,Twentynine Palms,34.1356,-116.0542,94.06,28,5,4.0,US,2022-10-04 20:48:57
7,La Carolina,38.2756,-3.6153,71.29,28,11,3.31,ES,2022-10-04 20:50:29
8,Bluff,-46.6,168.3333,37.8,82,100,29.08,NZ,2022-10-04 20:50:30
9,Tuktoyaktuk,69.4541,-133.0374,33.8,80,40,13.8,CA,2022-10-04 20:50:30
10,Narsaq,60.9167,-46.05,34.2,81,100,10.87,GL,2022-10-04 20:50:31
11,Katangli,51.7102,143.2326,29.32,87,62,14.47,RU,2022-10-04 20:50:31
12,Henties Bay,-22.116,14.2845,54.54,92,1,7.0,NA,2022-10-04 20:50:32
13,Salalah,17.0151,54.0924,78.01,84,62,5.39,OM,2022-10-04 20:50:33
14,Cayenne,4.9333,-52.3333,86.04,66,0,12.66,GF,2022-10-04 20:45:37
15,Hithadhoo,-0.6,73.0833,82.31,71,99,17.47,MV,2022-10-04 20:50:33
16,Nizwa,22.9333,57.5333,76.26,59,0,0.85,OM,2022-10-04 20:50:34
17,Margate,51.3813,1.3862,61.3,85,100,5.01,GB,2022-10-04 20:50:34
18,Katsuura,35.1333,140.3,77.16,86,100,17.85,JP,2022-10-04 20:50:35
19,Mount Pleasant,32.7941,-79.8626,73.99,45,0,8.05,US,2022-10-04 20:50:35
20,Cabedelo,-6.9811,-34.8339,81.27,74,31,11.56,BR,2022-10-04 20:50:36
21,Cape Town,-33.9258,18.4232,57.9,59,0,8.05,ZA,2022-10-04 20:50:39
22,Rikitea,-23.1203,-134.9692,69.71,62,72,24.32,PF,2022-10-04 20:50:40
23,Dikson,73.5069,80.5464,33.4,90,100,18.92,RU,2022-10-04 20:50:40
24,Angoram,-4.0625,144.0661,75.07,96,96,1.61,PG,2022-10-04 20:50:41
25,Senneterre,48.3835,-77.2328,59.32,69,91,4.41,CA,2022-10-04 20:50:42
26,Jardim,-21.4803,-56.1381,84.92,49,5,1.95,BR,2022-10-04 20:50:42
27,Rio Branco,-9.9747,-67.81,95.61,41,40,4.61,BR,2022-10-04 20:50:43
28,Russell,32.3502,-85.1999,78.96,44,0,4.61,US,2022-10-04 20:50:43
29,Smolenka,52.1352,113.4974,19.47,79,24,2.24,RU,2022-10-04 20:50:44
30,Tansen,27.8673,83.5467,63.09,99,100,2.71,NP,2022-10-04 20:50:44
31,Monte Escobedo,22.3,-103.5833,70.03,41,45,7.31,MX,2022-10-04 20:46:19
32,Airai,-8.9266,125.4092,61.07,88,98,1.77,TL,2022-10-04 20:50:46
33,Lufkin,31.3382,-94.7291,86.32,29,0,0.0,US,2022-10-04 20:50:47
34,Butaritari,3.0707,172.7902,81.03,77,17,13.0,KI,2022-10-04 20:50:47
35,Suntar,62.1444,117.6319,26.42,71,26,7.94,RU,2022-10-04 20:50:48
36,Port Lincoln,-34.7333,135.8667,57.13,94,19,9.28,AU,2022-10-04 20:50:48
37,Bredasdorp,-34.5322,20.0403,49.51,80,0,3.6,ZA,2022-10-04 20:50:49
38,Atuona,-9.8,-139.0333,76.41,71,16,20.8,PF,2022-10-04 20:50:49
39,Khatanga,71.9667,102.5,22.51,97,100,5.86,RU,2022-10-04 20:50:50
40,Deputatskiy,69.3,139.9,-1.32,98,62,4.0,RU,2022-10-04 20:50:50
41,Olenino,56.2092,33.4889,39.43,98,100,2.28,RU,2022-10-04 20:50:51
42,Talas,38.6908,35.5538,57.87,67,40,2.3,TR,2022-10-04 20:50:51
43,Hervey Bay,-25.2986,152.8535,67.08,63,27,8.63,AU,2022-10-04 20:50:52
44,Albany,42.6001,-73.9662,58.24,65,100,4.27,US,2022-10-04 20:48:19
45,Komsomolskiy,40.4272,71.7189,63.32,34,54,6.91,UZ,2022-10-04 20:51:53
46,Tahlequah,35.9154,-94.97,89.82,11,0,0.0,US,2022-10-04 20:51:42
